url_anuncio,titulo,preco_str,preco,descricao,local_bairro,local_cidade_estado_cep,data_publicacao,nome_vendedor,imagem_principal_url
https://pe.olx.com.br/grande-recife/imoveis/casa-ap-1401338167,"Casa,ap",R$ 22.000,22000.0,Consultora de imoveis,Rua C-1,"Mirueira, Paulista, PE, 53405470","Casa,ap","Casa,ap",
https://sp.olx.com.br/regiao-de-ribeirao-preto/vagas-de-emprego/imobiliaria-tiago-lopes-contrata-corretores-de-imoveis-1397951110,Imobiliaria Tiago Lopes contrata corretores de imoveis,,,Imobiliaria Tiago Lopes contrata corretores de imoveis para inicio imediato Melhores comissões Vendas de imoveis de terceiros Necessário experiencia e veiculo próprio.,Vila Seixas,"Ribeirão Preto, SP, 14020050",Imobiliaria Tiago Lopes contrata corretores de imoveis,Imobiliaria Tiago Lopes contrata corretores de imoveis,
https://ma.olx.com.br/regiao-de-sao-luis/vagas-de-emprego/vaga-para-corretor-de-imoveis-1405974643,VAGA PARA CORRETOR DE IMOVEIS,,,vaga para corretores de imoveis,COHAB Anil I,"São Luís, MA, 65051210",VAGA PARA CORRETOR DE IMOVEIS,VAGA PARA CORRETOR DE IMOVEIS,
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-centro-ipero-sp-1097062880,"Terreno à venda, Centro - Iperó/SP",R$ 250.000,250000.0,Código do anúncio: 2597 .[imoveis em boituva],Iperó,"SP, 18560000","Terreno à venda, Centro - Iperó/SP","Terreno à venda, Centro - Iperó/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-green-ville-boituva-sp-1097063333,"Terreno à venda, Green Ville - Boituva/SP",R$ 450.000,450000.0,Código do anúncio: 1182 .[imoveis em boituva],Residencial Green Ville I,"Boituva, SP, 18552452","Terreno à venda, Green Ville - Boituva/SP","Terreno à venda, Green Ville - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-gsp-life-boituva-boituva-sp-1097064600,"Terreno à venda, GSP Life Boituva - Boituva/SP",R$ 135.000,135000.0,Código do anúncio: 3978 .[imoveis em boituva],GSP Life Boituva,"Boituva, SP, 18558248","Terreno à venda, GSP Life Boituva - Boituva/SP","Terreno à venda, GSP Life Boituva - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-3-quartos-2-vagas-jardim-america-boituva-sp-1097066058,"Casa à venda, 3 quartos, 2 vagas, Jardim América - Boituva/SP",R$ 600.000,600000.0,Código do anúncio: 219 .[imoveis em boituva],Jardim América,"Boituva, SP, 18556008","Casa à venda, 3 quartos, 2 vagas, Jardim América - Boituva/SP","Casa à venda, 3 quartos, 2 vagas, Jardim América - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/chacara-a-venda-6-quartos-3-suites-3-vagas-boituville-boituva-sp-1097069814,"Chácara à venda, 6 quartos, 3 suítes, 3 vagas, Boituville - Boituva/SP",R$ 1.000.000,1000000.0,Código do anúncio: 3828 .[imoveis em boituva],Boituville,"Boituva, SP, 18553610","Chácara à venda, 6 quartos, 3 suítes, 3 vagas, Boituville - Boituva/SP","Chácara à venda, 6 quartos, 3 suítes, 3 vagas, Boituville - Boituva/SP",
https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-parque-sao-judas-tadeu-sao-sebastiao-do-paraiso-mg-1097075272,"Terreno à venda, Parque São Judas Tadeu - São Sebastião do Paraíso/MG",R$ 65.000,65000.0,Código do anúncio: 1295 .[imoveis em boituva],São Sebastião do Paraíso,"MG, 37950000","Terreno à venda, Parque São Judas Tadeu - São Sebastião do Paraíso/MG","Terreno à venda, Parque São Judas Tadeu - São Sebastião do Paraíso/MG",
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-90-m-venda-por-r-800-000-00-ou-aluguel-por-r-3-900-02-1399555752,"Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/",R$ 800.000,800000.0,Código do anúncio: AP5174 BORGES CAMELO IMOVEIS -,Buritis,"Belo Horizonte, MG, 30575140","Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/","Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/",
https://df.olx.com.br/distrito-federal-e-regiao/servicos/topografia-regularizacao-de-imoveis-e-projetos-1407130678,"TOPOGRAFIA, REGULARIZAÇAO DE IMOVEIS E PROJETOS",,,- Georreferenciamento - Projetos de infraestrutura - Levantamentos planialtimetricos e planimetricos de imoveis rurais e urbanos - topografia para execuçao e fiscalizaçao de obras - Regularizaçao de Imoveis -> CONTATO 61 ... ver número,Park Way,"Brasília, DF, 71746004","TOPOGRAFIA, REGULARIZAÇAO DE IMOVEIS E PROJETOS","TOPOGRAFIA, REGULARIZAÇAO DE IMOVEIS E PROJETOS",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/chacara-a-venda-3-quartos-3-suites-8-vagas-colina-nova-boituva-boituva-sp-1097063416,"Chácara à venda, 3 quartos, 3 suítes, 8 vagas, Colina Nova Boituva - Boituva/SP",R$ 1.950.000,1950000.0,Código do anúncio: 2672 .[imoveis em boituva],Colina Nova Boituva,"Boituva, SP, 18557802","Chácara à venda, 3 quartos, 3 suítes, 8 vagas, Colina Nova Boituva - Boituva/SP","Chácara à venda, 3 quartos, 3 suítes, 8 vagas, Colina Nova Boituva - Boituva/SP",
